"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J1";"Grove-4P-SMD";1;"Grove UART";;;
2;"U1";"QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm";1;"dspic33ep256gp502-QFN";;;
3;"ML1";"MLX90621";1;"MLX90621";;;
4;"C1,C4,C5";"C_0402_1005Metric";3;"100nF";;;
5;"C2,C3,C6";"C_0402_1005Metric";3;"10uF";;;
6;"C7,C9";"C_0402_1005Metric";2;"1uF";;;
7;"C8";"C_0402_1005Metric";1;"470pF";;;
8;"D1";"LED_0402_1005Metric";1;"LED";;;
9;"L1,L2";"L_0603_1608Metric";2;"10uH";;;
10;"P2";"PinHeader_1x05_P1.27mm_Vertical";1;"JTAG";;;
11;"R1,R4,R5";"R_0402_1005Metric";3;"4.7K";;;
12;"R2";"R_0402_1005Metric";1;"10";;;
13;"R3";"R_0402_1005Metric";1;"330";;;
14;"R6";"R_0402_1005Metric";1;"DNP";;;
15;"U2";"SOT-23-5";1;"MIC5219-2.6";;;
16;"H1,H2";"MountingHole_2.2mm_M2";2;"MountingHole";;;
